Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column202	Column21
2	1560994595	0.9989644246125479	0.04510974106521898	-0.005818425750736906	0.0011556562348888355	0.2622841533280076	0.17764280742061422	0.21791516964328386	-1.73095703125	-0.147705078125	-1.10888671875	0.5299348	0.63757956	0.43737054	-0.34837988	17.068897	-9.32856	-22.214151	Scatto 10m	4	Petto
3	1561011262	0.9999509009244377	0.004572273803853333	-0.008791459825051475	-1.6935542152929365E-5	0.20780456834526043	-0.013531111296424588	0.0043175663067164735	-1.724853515625	-0.1328125	-1.091552734375	0.7435353	0.5367958	0.37293848	-0.14114723	8.032181	2.0096033	-19.174023	Scatto 10m	4	Petto
4	1561027929	0.9998988382796289	-0.00786681086950003	-0.007938789967632977	0.008797846761676553	0.24296872074060746	-0.0994596444654452	0.16116893513292185	-1.722900390625	-0.1376953125	-1.075927734375	0.8056755	0.52363646	0.27392372	-0.040717	13.8464155	-7.7293453	-19.307478	Scatto 10m	4	Petto
5	1561044596	0.9994275214613172	-0.009594269357275975	-0.011322832443074471	0.030403499907976476	0.30530410650100426	8.169642656511641E-4	0.04133908906551494	-1.714599609375	-0.093994140625	-1.05322265625	0.8596273	0.48778087	0.14875169	0.03136536	17.978218	1.3468031	-13.896435	Scatto 10m	4	Petto
6	1561061263	0.9992593406723205	-0.019578475712230092	0.0019303499513581709	0.033071545427605986	0.24406217254379614	0.1511881284399665	-0.1083715715985878	-1.705810546875	-0.048583984375	-1.03369140625	0.8825178	0.4635061	0.011286718	0.07872148	13.426908	11.890632	-5.651814	Scatto 10m	4	Petto
7	1561077930	0.9994921830529697	-0.022522589627687106	0.021469650990821754	0.006867536589205942	-0.1538119029195507	0.1777996979666	-0.039176254393410756	-1.716064453125	-0.028564453125	-1.07470703125	0.88001645	0.45954812	-0.09161123	0.077421494	-10.913725	7.560679	-4.501054	Scatto 10m	4	Petto
8	1561094597	0.9988351084882924	-0.039113921470578183	0.014996719348047362	-0.02395048239953973	-0.1409077353398886	0.05877206314031929	-0.16915575417495432	-1.729736328125	-0.088623046875	-1.0927734375	0.88539726	0.44805232	-0.11662402	0.041469295	-7.048928	10.718033	-14.540615	Scatto 10m	4	Petto
9	1561111264	0.9983680663314562	-0.042821733188916467	0.006869963933781031	-0.037152481637633246	0.07221165628995786	0.14287084168653297	-0.11676382133146351	-1.7412109375	-0.183837890625	-1.1142578125	0.8897416	0.44201082	-0.113512866	-0.010058052	4.191032	10.142799	-5.2420564	Scatto 10m	4	Petto
10	1561127931	0.9983844817417128	-0.04868491381143181	0.0014225325867835983	-0.02926059099786721	0.5760696203120172	0.28506799226076984	0.03529692553323143	-1.742919921875	-0.2822265625	-1.12939453125	0.8932797	0.4302185	-0.11626508	-0.058701392	31.435799	1.8079677	12.552788	Scatto 10m	4	Petto
12	1561161265	0.9988120198864123	-0.038707507455648826	-0.002629448946843638	-0.029484975754301646	0.35831747490690835	-0.17566490862749476	-0.3616406601077846	-1.728271484375	-0.376220703125	-1.118408203125	0.86389107	0.4344684	-0.21041325	-0.14372203	-0.5996924	0.571127	-29.437447	Scatto 10m	4	Petto
14	1561194599	0.9951545468565353	-0.07147252598577902	0.06589501956757417	-0.014729300600004214	0.30057475957994173	-0.5223770459808696	0.3753826988534452	-1.7529296875	-0.4375	-1.285888671875	0.8761009	0.3993448	-0.2060461	-0.17468862	1.1527705	-31.499395	-13.240988	Scatto 10m	4	Petto
17	1561244600	0.9925949420938338	-0.015058393769230016	0.04703208096917896	0.1109797687262787	1.8794491656062557	-1.210620493614378	-0.21806102190758847	-1.802001953125	-0.249755859375	-1.38916015625	0.9067707	0.29676354	-0.29242712	-0.06468937	25.340736	-19.959297	-16.90222	Scatto 10m	4	Petto
19	1561277934	0.9925278567494132	0.03702122995048335	0.08629804698100992	0.07791360084499456	-0.31009461505035174	0.14811624460099812	0.08847965148929239	-1.796630859375	-0.098876953125	-1.575927734375	0.92209697	0.24166594	-0.29932502	0.04170523	-17.193676	10.162091	-16.420595	Scatto 10m	4	Petto
21	1561311268	0.9960405541911682	0.023702666848283205	0.016439023111522205	0.0840901689257945	-0.07672657177947734	0.0037293996931330453	0.32011298903267255	-1.76025390625	0.064697265625	-1.6455078125	0.91464376	0.19529039	-0.32666805	0.1362959	0.4348688	-4.907245	-1.8475289	Scatto 10m	4	Petto
28	1561427937	0.9766824340903315	0.1746419376776624	-0.12113489254169703	0.030297761509526677	0.3538830536650526	-0.5011456032210657	-0.5964717218118836	-1.77392578125	0.105224609375	-1.523681640625	0.81581366	0.28028098	-0.4449595	0.24062786	4.4090066	5.05469	-36.31935	Scatto 10m	4	Petto
30	1561461271	0.9884785077243086	-0.027254660480577175	-0.13895049886898678	-0.05348067046393798	0.7261902669868406	0.045384718686302256	0.3596687211762787	-1.790771484375	-0.0361328125	-1.196044921875	0.7603926	0.3004393	-0.5544328	0.15538275	9.670897	-2.1350648	15.918028	Scatto 10m	4	Petto
32	1561494605	0.9922496376873106	-0.10538075221404258	-0.04529176834200244	0.047793402187517514	0.7809940262955336	-0.3057397246338847	0.1262293434072743	-1.752685546875	-0.019775390625	-1.057373046875	0.74675214	0.18938673	-0.6242356	0.12970774	10.168208	-16.421179	9.733213	Scatto 10m	4	Petto
33	1561511272	0.9986789311173184	-0.01733655067690576	-0.018636173432566877	0.04463775971964382	0.08014377140748526	-0.1910051511944841	-0.06090107893190222	-1.72021484375	0.032958984375	-1.011474609375	0.7276297	0.14608805	-0.65204954	0.15506403	9.047088	-8.765912	-6.792653	Scatto 10m	4	Petto
35	1561544606	0.9954761295310995	0.07693226933656727	0.04240522127538201	0.03620081044801927	0.012267155354410239	0.08493581449120469	-0.09303977942816602	-1.71337890625	0.166748046875	-1.107177734375	0.72732913	0.16143419	-0.6182516	0.2503927	-3.7467759	8.680385	-8.288585	Scatto 10m	4	Petto
37	1561577940	0.9978495124318227	0.008651191392655022	0.04995098766843166	-0.04155004522271167	0.49201336824822944	0.17645409947660678	0.017770922058443522	-1.757080078125	0.114013671875	-1.224365234375	0.7592701	0.17339717	-0.5780705	0.24346891	-6.841352	6.415774	16.264738	Scatto 10m	4	Petto
39	1561611274	0.9930258433687531	-0.09870427478171023	0.03504741865435041	-0.05411856416480435	1.0282941745487384	0.34211443465330044	-0.27520968219895203	-1.798583984375	-0.04931640625	-1.275390625	0.79921055	0.11638219	-0.56866497	0.15600602	10.630564	8.770676	2.5984783	Scatto 10m	4	Petto
41	1561644608	0.9906594958361022	-0.0825580937064413	0.051281882345456886	-0.09564566386629848	-0.5413261360288493	-0.7816954848552586	-0.4473603860431273	-1.804931640625	-0.256591796875	-1.38623046875	0.84027255	0.09456232	-0.5322034	0.04195198	14.268535	-24.007551	-34.589733	Scatto 10m	4	Petto
42	1561661275	0.9978328994588248	-0.051885277364582205	0.0378290038808416	-0.014366252670001245	0.27449664169297194	-0.23730078763739829	0.3332088916579362	-1.79736328125	-0.306884765625	-1.44775390625	0.8614688	0.055716123	-0.5046501	0.009782062	-8.342375	-18.448719	11.7209015	Scatto 10m	4	Petto
43	1561677942	0.9979750879064333	-0.04062245411186727	-0.02858786192028365	0.039727500436132	0.6252086886373981	-0.29344967042974335	0.47771146045380225	-1.800537109375	-0.26416015625	-1.478515625	0.8446161	-6.0663023E-4	-0.53472465	0.026322592	-5.491615	-21.783394	35.286392	Scatto 10m	4	Petto
44	1561694609	0.9979034780886433	-0.016357491595932194	-0.048935363452193965	0.039069311371961235	0.4909453943319915	-0.5703904305930054	-0.47861706976948903	-1.800537109375	-0.16357421875	-1.338134765625	0.81295997	-0.035742037	-0.5785556	0.05560663	40.092484	-31.696905	6.042346	Scatto 10m	4	Petto
45	1561711276	0.999439877821178	0.022503244922878918	0.009808011014536572	0.022745054598052847	0.05332743767539691	0.030439765653010827	-0.006292896119712524	-1.80224609375	-0.124267578125	-1.366455078125	0.81398094	-0.0333112	-0.57236725	0.09338778	1.255964	2.2698724	-7.169864	Scatto 10m	4	Petto
46	1561727943	0.9978412203266601	0.02492003856568853	-0.016461823703494836	0.05848845232386768	-0.4111791513924693	-0.16483008198996071	-0.23879612976377831	-1.790283203125	-0.01416015625	-1.325927734375	0.7941733	-0.046999607	-0.5838695	0.16179198	6.872385	-13.79145	-35.779343	Scatto 10m	4	Petto
47	1561744610	0.9983943815447005	0.04523777314939231	0.0037408214485588347	0.03388523329341326	-0.43126801241271245	-0.01933756692636282	0.09890394196565593	-1.775146484375	0.077880859375	-1.32763671875	0.78749543	-0.03379654	-0.57424724	0.22124465	-11.929908	-10.145247	-31.280058	Scatto 10m	4	Petto
48	1561761277	0.9991119297809697	0.023218011355722434	0.026830585015929557	0.02272433554001252	-0.030519984907705223	0.03265139262384678	0.3185022955882017	-1.763671875	0.1298828125	-1.40478515625	0.79408014	-0.037131812	-0.549185	0.25778705	-18.62984	-2.9172385	-5.711214	Scatto 10m	4	Petto
49	1561777944	0.9994335112131041	0.013804778300851028	-0.023139679989425482	0.020165316022751154	0.2378219600885183	-0.04488749420586272	0.14220897161711307	-1.74755859375	0.169189453125	-1.385498046875	0.77278656	-0.033681273	-0.56451124	0.288086	-2.971777	2.2991095	6.605034	Scatto 10m	4	Petto
50	1561794611	0.9996519096959733	0.007971569622324481	-0.02338061511018694	0.009266086337786805	0.31187219629012275	-0.21241076841302678	0.028605670428735838	-1.739990234375	0.19287109375	-1.338623046875	0.7536043	-0.02812321	-0.58106923	0.30602035	7.226859	-1.8016617	11.635555	Scatto 10m	4	Petto
51	1561811278	0.9990952425883822	0.037397790000235576	-0.019982339898202365	0.003287496395849438	0.3761130733993354	-0.09563324077028824	0.06009898754458862	-1.73193359375	0.20166015625	-1.310791015625	0.73797065	0.0022982284	-0.5852035	0.3360521	2.1613579	5.5488377	12.984077	Scatto 10m	4	Petto
52	1561827945	0.999374666871922	0.03309291564704986	-0.002866470311610928	-0.012120952791131512	0.23792736114888668	-0.09594746326642023	-0.025855531213235656	-1.73388671875	0.201416015625	-1.3251953125	0.73664933	0.032901734	-0.57686555	0.35141337	5.3764176	3.334143	4.305187	Scatto 10m	4	Petto
53	1561844612	0.9997873765347954	0.011446185767857386	-0.0011033373029402521	-0.01711634306254795	-0.0984854315211928	-0.054373141856020595	0.021603946475441834	-1.740478515625	0.17138671875	-1.33447265625	0.73838425	0.049893964	-0.5741121	0.35027787	0.28728122	-5.8926044	-13.339283	Scatto 10m	4	Petto
54	1561861279	0.9995166770639706	-0.003846680475873221	-0.020216757247027598	-0.023300172675960268	-0.24509230217240388	-0.1902408563934007	-0.16451140714938553	-1.754150390625	0.13330078125	-1.30859375	0.7318232	0.06595438	-0.58996725	0.3346994	13.321517	-10.604178	-22.223364	Scatto 10m	4	Petto
55	1561877946	0.9986988376942533	-0.009895259035285153	-0.027385295337726854	-0.041865989013013534	-0.31598201685878247	-0.3219363988402918	-0.42210841807639043	-1.766845703125	0.053466796875	-1.242431640625	0.7263517	0.09117027	-0.61092764	0.3014444	30.394007	-10.066896	-28.49017	Scatto 10m	4	Petto
